latitude,longitude,geological_unit,rock_type,lithology_category,stratigraphy,group_name,major_minerals
14.867754,77.564815,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.583333,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.527778,,Banded gneiss,Banded gneiss,Palaeoarchaean to Mesoarchaean,,"Plagioclase, orthoclase, microcline, orthoclase microcline perthite, quartz, hornblende, biotite"
14.331081,77.546296,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.564815,,Banded gneiss,Banded gneiss,Palaeoarchaean to Mesoarchaean,,"Plagioclase, orthoclase, microcline, orthoclase microcline perthite, quartz, hornblende, biotite"
14.331081,77.583333,,Banded gneiss,Banded gneiss,Palaeoarchaean to Mesoarchaean,,"Plagioclase, orthoclase, microcline, orthoclase microcline perthite, quartz, hornblende, biotite"
14.331081,77.601852,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.62037,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.638889,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.657407,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.675926,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.694444,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.712963,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.731481,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.749999,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.509259,,Hornblende actinolite schist,METABASALT/HORNBLENDE ACTIONOLITE SCHIST,Mesoarchaean to Neoarchaean,Ramagiri-Penakacherla,"hornblende, actinolite, plagioclase, quartz"
14.349099,77.527778,,Hornblende actinolite schist,METABASALT/HORNBLENDE ACTIONOLITE SCHIST,Mesoarchaean to Neoarchaean,Ramagiri-Penakacherla,"hornblende, actinolite, plagioclase, quartz"
14.349099,77.546296,,Banded gneiss,Banded gneiss,Palaeoarchaean to Mesoarchaean,,"Plagioclase, orthoclase, microcline, orthoclase microcline perthite, quartz, hornblende, biotite"
14.349099,77.564815,,Migmatite,Migmatite,Neoarchaean to Palaeoproterozoic,,"Plagioclase, orthoclase and microcline, biotite, hornblende, epidote, apatite, sphene, zircon, opaques"
14.349099,77.583333,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.601852,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.62037,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.638889,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.657407,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.675926,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.694444,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.277933,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.296555,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.315177,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.333799,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.352421,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.371043,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.389665,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.408287,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.426909,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.445531,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.464153,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.385233,77.482775,,RAMAGIRI GRANITE,GREY PORPHYRITIC GRANITE/SHEARED GRANITE(RAMAGIRI GRANITE),Palaeoproterozoic,,"quartz, microcline, microcline perthite, orthoclase, plagioclase, biotite, hornblende"
14.385233,77.5,,RAMAGIRI GRANITE,GREY PORPHYRITIC GRANITE/SHEARED GRANITE(RAMAGIRI GRANITE),Palaeoproterozoic,,"quartz, microcline, microcline perthite, orthoclase, plagioclase, biotite, hornblende"
14.403153,77.259311,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.403153,77.277933,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.403153,77.296555,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.403153,77.315177,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.403153,77.333799,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.403153,77.352421,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.403153,77.371043,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.403153,77.389665,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.403153,77.408287,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.403153,77.426909,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.601852,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.62037,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.638889,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.657407,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.675926,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.694444,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.712963,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.731481,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.749999,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.509259,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.527778,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.546296,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.564815,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.583333,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.601852,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.62037,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.638889,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.657407,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.675926,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.694444,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.712963,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.731481,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.88587,77.749999,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.903985,77.509259,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.712963,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.731481,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.749999,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.509259,,Hornblende actinolite schist,METABASALT/HORNBLENDE ACTIONOLITE SCHIST,Mesoarchaean to Neoarchaean,Ramagiri-Penakacherla,"hornblende, actinolite, plagioclase, quartz"
14.367117,77.527778,,Hornblende actinolite schist,METABASALT/HORNBLENDE ACTIONOLITE SCHIST,Mesoarchaean to Neoarchaean,Ramagiri-Penakacherla,"hornblende, actinolite, plagioclase, quartz"
14.367117,77.546296,,Banded gneiss,Banded gneiss,Palaeoarchaean to Mesoarchaean,,"Plagioclase, orthoclase, microcline, orthoclase microcline perthite, quartz, hornblende, biotite"
14.367117,77.564815,,Migmatite,Migmatite,Neoarchaean to Palaeoproterozoic,,"Plagioclase, orthoclase and microcline, biotite, hornblende, epidote, apatite, sphene, zircon, opaques"
14.367117,77.583333,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.601852,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.62037,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.638889,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.657407,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.675926,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.694444,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.712963,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.731481,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
